State,Year,Quater,District,reg_user,app_opens
"sangli district",2020,1,"sangli district",482269,8449960
"gadchiroli district",2020,1,"gadchiroli district",93237,1755477
"raigad district",2020,1,"raigad district",830643,15575119
"palghar district",2020,1,"palghar district",848560,15443541
"jalna district",2020,1,"jalna district",273333,6634039
"gondia district",2020,1,"gondia district",154128,2821505
"ahmednagar district",2020,1,"ahmednagar district",905962,21793085
"pune district",2020,1,"pune district",4802397,166264817
"beed district",2020,1,"beed district",352440,7689104
"satara district",2020,1,"satara district",569983,11452619
"jalgaon district",2020,2,"jalgaon district",674333,14391588
"latur district",2020,2,"latur district",442532,10323627
"thane district",2020,2,"thane district",3135101,41679075
"bhandara district",2020,2,"bhandara district",186624,3670089
"nandurbar district",2020,2,"nandurbar district",148303,3144632
"chandrapur district",2020,2,"chandrapur district",328119,5688173
"kolhapur district",2020,2,"kolhapur district",814605,12660217
"solapur district",2020,2,"solapur district",918756,22162038
"mumbai district",2020,2,"mumbai district",1141566,10541671
"sindhudurg district",2020,2,"sindhudurg district",116431,1668792
"dhule district",2020,2,"dhule district",297518,6607210
"wardha district",2020,2,"wardha district",215844,3802647
"parbhani district",2020,2,"parbhani district",256238,5925433
"mumbai suburban district",2020,2,"mumbai suburban district",3060916,33883264
"hingoli district",2020,2,"hingoli district",137153,3116521
"ratnagiri district",2020,2,"ratnagiri district",207795,3098395
"nanded district",2020,2,"nanded district",465427,10407217
"osmanabad district",2020,2,"osmanabad district",276601,7667775
"nagpur district",2020,2,"nagpur district",1377642,24180114
"buldhana district",2020,2,"buldhana district",399816,9683692
"nashik district",2020,2,"nashik district",1602650,37705941
"akola district",2020,2,"akola district",270559,4841458
"yavatmal district",2020,2,"yavatmal district",304402,5808109
"aurangabad district",2020,2,"aurangabad district",1142730,25999949
"amravati district",2020,2,"amravati district",507916,10749998
"washim district",2020,2,"washim district",147446,3130154
"sangli district",2020,2,"sangli district",537082,9210637
"gadchiroli district",2020,2,"gadchiroli district",104971,2076992
"raigad district",2020,2,"raigad district",914900,14041737
"palghar district",2020,2,"palghar district",947121,16423449
"jalna district",2020,2,"jalna district",308894,7486666
"gondia district",2020,2,"gondia district",173024,3406137
"ahmednagar district",2020,2,"ahmednagar district",1014520,22908289
"pune district",2020,2,"pune district",5144688,84972772
"beed district",2020,2,"beed district",406418,10527155
"satara district",2020,2,"satara district",636445,12763199
"jalgaon district",2020,3,"jalgaon district",743569,17695427
"latur district",2020,3,"latur district",487737,12529419
"thane district",2020,3,"thane district",3401853,52297968
"bhandara district",2020,3,"bhandara district",204981,4356190
"nandurbar district",2020,3,"nandurbar district",166410,3724827
"chandrapur district",2020,3,"chandrapur district",363342,7045440
"kolhapur district",2020,3,"kolhapur district",888115,14966592
"solapur district",2020,3,"solapur district",1012518,28891583
"mumbai district",2020,3,"mumbai district",1234355,13941010
"sindhudurg district",2020,3,"sindhudurg district",130919,1987566
"dhule district",2020,3,"dhule district",328830,8067643
"wardha district",2020,3,"wardha district",237655,4580040
"parbhani district",2020,3,"parbhani district",285190,7390362
"mumbai suburban district",2020,3,"mumbai suburban district",3304696,42335510
"hingoli district",2020,3,"hingoli district",153826,3833142
"ratnagiri district",2020,3,"ratnagiri district",232740,3520849
"nanded district",2020,3,"nanded district",516629,13025435
"osmanabad district",2020,3,"osmanabad district",306365,9424874
"nagpur district",2020,3,"nagpur district",1502777,33257572
"buldhana district",2020,3,"buldhana district",442520,11822619
"nashik district",2020,3,"nashik district",1752191,51545991
"akola district",2020,3,"akola district",300191,6048017
"yavatmal district",2020,3,"yavatmal district",339550,6963604
"aurangabad district",2020,3,"aurangabad district",1244879,37148805
"amravati district",2020,3,"amravati district",559554,13609334
"washim district",2020,3,"washim district",164636,3774276
"sangli district",2020,3,"sangli district",592418,11236674
"gadchiroli district",2020,3,"gadchiroli district",116628,2495986
"raigad district",2020,3,"raigad district",1001129,17849735
"palghar district",2020,3,"palghar district",1034468,17374224
"jalna district",2020,3,"jalna district",343751,9707302
"gondia district",2020,3,"gondia district",189739,3853651
"ahmednagar district",2020,3,"ahmednagar district",1123648,30036265
"pune district",2020,3,"pune district",5546002,133793402
"beed district",2020,3,"beed district",454108,12860646
"satara district",2020,3,"satara district",701594,15205121
"jalgaon district",2020,4,"jalgaon district",816922,22645586
"latur district",2020,4,"latur district",539386,17279732
"thane district",2020,4,"thane district",3727358,82413249
"bhandara district",2020,4,"bhandara district",224428,5403094
"nandurbar district",2020,4,"nandurbar district",185364,4701658
"chandrapur district",2020,4,"chandrapur district",402099,9492265
"kolhapur district",2020,4,"kolhapur district",974585,21266960
"solapur district",2020,4,"solapur district",1113260,38785337
"mumbai district",2020,4,"mumbai district",1347356,23972829
"sindhudurg district",2020,4,"sindhudurg district",147242,2507093
"dhule district",2020,4,"dhule district",363024,10499674
"wardha district",2020,4,"wardha district",261295,5910689
"parbhani district",2020,4,"parbhani district",316441,9719978
"mumbai suburban district",2020,4,"mumbai suburban district",3609970,68832123
"hingoli district",2020,4,"hingoli district",170844,4783410
"ratnagiri district",2020,4,"ratnagiri district",259813,4183042
"nanded district",2020,4,"nanded district",574606,17631961
"osmanabad district",2020,4,"osmanabad district",337291,12068034
"nagpur district",2020,4,"nagpur district",1637270,44969544
"buldhana district",2020,4,"buldhana district",487832,14858983
"nashik district",2020,4,"nashik district",1907318,66339993
"akola district",2020,4,"akola district",332597,8033141
"yavatmal district",2020,4,"yavatmal district",379678,9064914
"aurangabad district",2020,4,"aurangabad district",1355656,50905731
"amravati district",2020,4,"amravati district",613354,17585936
"washim district",2020,4,"washim district",183624,4818498
"sangli district",2020,4,"sangli district",655430,15699266
"gadchiroli district",2020,4,"gadchiroli district",129535,3216726
"raigad district",2020,4,"raigad district",1103959,27052023
"palghar district",2020,4,"palghar district",1136061,24404168
"jalna district",2020,4,"jalna district",380761,12432017
"gondia district",2020,4,"gondia district",207793,4686609
"ahmednagar district",2020,4,"ahmednagar district",1237321,40612625
"pune district",2020,4,"pune district",6033615,207736217
"beed district",2020,4,"beed district",502927,16058755
"satara district",2020,4,"satara district",776616,21434910
"jalgaon district",2021,1,"jalgaon district",880235,24564263
"latur district",2021,1,"latur district",582713,19927797
"thane district",2021,1,"thane district",4014464,95853664
"bhandara district",2021,1,"bhandara district",241307,5724141
"nandurbar district",2021,1,"nandurbar district",200690,5232672
"chandrapur district",2021,1,"chandrapur district",433697,10769204
"kolhapur district",2021,1,"kolhapur district",1048158,24082808
"solapur district",2021,1,"solapur district",1199130,43629720
"mumbai district",2021,1,"mumbai district",1450548,29473502
"sindhudurg district",2021,1,"sindhudurg district",158487,2681466
"dhule district",2021,1,"dhule district",391549,11609420
"wardha district",2021,1,"wardha district",281356,6547455
"parbhani district",2021,1,"parbhani district",341747,10585846
"mumbai suburban district",2021,1,"mumbai suburban district",3886500,82964739
"hingoli district",2021,1,"hingoli district",184818,5031701
"ratnagiri district",2021,1,"ratnagiri district",279598,4518936
"nanded district",2021,1,"nanded district",620908,19605168
"osmanabad district",2021,1,"osmanabad district",363717,13404694
"nagpur district",2021,1,"nagpur district",1761562,50475590
"buldhana district",2021,1,"buldhana district",526980,16060285
"nashik district",2021,1,"nashik district",2049293,73733644
"akola district",2021,1,"akola district",359424,8842396
"yavatmal district",2021,1,"yavatmal district",411242,10054649
"aurangabad district",2021,1,"aurangabad district",1456891,56978295
"amravati district",2021,1,"amravati district",660582,18290419
"washim district",2021,1,"washim district",199116,5342030
"sangli district",2021,1,"sangli district",706867,18164337
"gadchiroli district",2021,1,"gadchiroli district",140084,3550696
"raigad district",2021,1,"raigad district",1189907,31848388
"palghar district",2021,1,"palghar district",1225423,27805492
"jalna district",2021,1,"jalna district",411010,13687818
"gondia district",2021,1,"gondia district",224168,5277879
"ahmednagar district",2021,1,"ahmednagar district",1333477,46024131
"pune district",2021,1,"pune district",6481971,257611232
"beed district",2021,1,"beed district",543616,17941211
"satara district",2021,1,"satara district",836302,24080796
"jalgaon district",2021,2,"jalgaon district",943259,35301873
"latur district",2021,2,"latur district",624744,29180891
"thane district",2021,2,"thane district",4290066,64723378
"bhandara district",2021,2,"bhandara district",258606,8333396
"nandurbar district",2021,2,"nandurbar district",215867,10883715
"chandrapur district",2021,2,"chandrapur district",465162,19083472
"kolhapur district",2021,2,"kolhapur district",1120732,25166053
"solapur district",2021,2,"solapur district",1283601,70070564
"mumbai district",2021,2,"mumbai district",1549784,15755744
"sindhudurg district",2021,2,"sindhudurg district",169850,6676394
"dhule district",2021,2,"dhule district",420452,18433982
"wardha district",2021,2,"wardha district",301303,11242152
"parbhani district",2021,2,"parbhani district",366307,20114134
"mumbai suburban district",2021,2,"mumbai suburban district",4151227,48912802
"hingoli district",2021,2,"hingoli district",198989,10972408
"ratnagiri district",2021,2,"ratnagiri district",299931,11050624
"nanded district",2021,2,"nanded district",666016,33359336
"osmanabad district",2021,2,"osmanabad district",390287,28330715
"nagpur district",2021,2,"nagpur district",1883447,45250899
"buldhana district",2021,2,"buldhana district",565868,28581359
"nashik district",2021,2,"nashik district",2191882,75757960
"akola district",2021,2,"akola district",385734,13364304
"yavatmal district",2021,2,"yavatmal district",442623,21915611
"aurangabad district",2021,2,"aurangabad district",1557693,63292884
"amravati district",2021,2,"amravati district",708106,26297460
"washim district",2021,2,"washim district",214281,11684560
"sangli district",2021,2,"sangli district",756769,28300612
"gadchiroli district",2021,2,"gadchiroli district",150715,8590038
"raigad district",2021,2,"raigad district",1272744,29988653
"palghar district",2021,2,"palghar district",1312388,24969796
"jalna district",2021,2,"jalna district",441936,27109811
"gondia district",2021,2,"gondia district",240700,9019259
"ahmednagar district",2021,2,"ahmednagar district",1429562,71089482
"pune district",2021,2,"pune district",6915820,182010403
"beed district",2021,2,"beed district",583148,38733719
"satara district",2021,2,"satara district",895098,34535149
"jalgaon district",2021,3,"jalgaon district",1015954,44589296
"latur district",2021,3,"latur district",672411,35447172
"thane district",2021,3,"thane district",4597394,83300680
"bhandara district",2021,3,"bhandara district",278950,10492117
"nandurbar district",2021,3,"nandurbar district",233351,14068043
"chandrapur district",2021,3,"chandrapur district",501428,24953314
"kolhapur district",2021,3,"kolhapur district",1201767,30276720
"solapur district",2021,3,"solapur district",1380100,90517777
"mumbai district",2021,3,"mumbai district",1659663,22719084
