State,Year,Quater,Reg_user,Device_brand,Device_count
manipur,2020,4,288772,Xiaomi,137767
manipur,2021,1,312668,Xiaomi,149035
manipur,2021,2,335409,Xiaomi,159031
manipur,2021,3,361749,Xiaomi,171051
manipur,2021,4,387746,Xiaomi,183086
manipur,2022,1,411900,Xiaomi,193373
manipur,2022,2,434563,Xiaomi,193373
manipur,2022,3,457063,Xiaomi,193373
manipur,2022,4,477292,Xiaomi,193373
meghalaya,2018,1,18513,Xiaomi,4528
meghalaya,2018,2,26618,Xiaomi,6618
meghalaya,2018,3,37281,Xiaomi,9247
meghalaya,2018,4,49634,Xiaomi,12391
meghalaya,2019,1,61487,Xiaomi,15243
meghalaya,2019,2,74746,Xiaomi,18498
meghalaya,2019,3,87395,Xiaomi,21608
meghalaya,2019,4,100030,Xiaomi,24747
meghalaya,2020,1,113814,Xiaomi,27877
meghalaya,2020,2,136211,Xiaomi,32935
meghalaya,2020,3,157741,Xiaomi,37816
meghalaya,2020,4,176447,Xiaomi,41993
meghalaya,2021,1,190869,Xiaomi,45624
meghalaya,2021,2,205686,Xiaomi,48812
meghalaya,2021,3,223065,Xiaomi,52800
meghalaya,2021,4,240268,Xiaomi,57355
meghalaya,2022,1,255839,Xiaomi,60423
meghalaya,2022,2,269943,Xiaomi,60423
meghalaya,2022,3,283487,Xiaomi,60423
meghalaya,2022,4,295322,Xiaomi,60423
mizoram,2018,1,7593,Xiaomi,2402
mizoram,2018,2,10422,Xiaomi,3325
mizoram,2018,3,14502,Xiaomi,4634
mizoram,2018,4,19365,Xiaomi,6297
mizoram,2019,1,23670,Xiaomi,7660
mizoram,2019,2,28696,Xiaomi,9295
mizoram,2019,3,34134,Xiaomi,11089
mizoram,2019,4,39809,Xiaomi,12924
mizoram,2020,1,46499,Xiaomi,14848
mizoram,2020,2,55574,Xiaomi,17662
mizoram,2020,3,68315,Xiaomi,21725
mizoram,2020,4,78731,Xiaomi,24925
mizoram,2021,1,85750,Xiaomi,27202
mizoram,2021,2,92552,Xiaomi,29025
mizoram,2021,3,100647,Xiaomi,31196
mizoram,2021,4,108405,Xiaomi,33819
mizoram,2022,1,115295,Xiaomi,35679
mizoram,2022,2,121535,Xiaomi,35679
mizoram,2022,3,127735,Xiaomi,35679
mizoram,2022,4,132870,Xiaomi,35679
nagaland,2018,1,15074,Xiaomi,4166
nagaland,2018,2,22436,Xiaomi,6300
nagaland,2018,3,32090,Xiaomi,9037
nagaland,2018,4,42997,Xiaomi,12421
nagaland,2019,1,53911,Xiaomi,15755
nagaland,2019,2,66891,Xiaomi,19602
nagaland,2019,3,80077,Xiaomi,23840
nagaland,2019,4,93124,Xiaomi,27943
nagaland,2020,1,107143,Xiaomi,32305
nagaland,2020,2,130205,Xiaomi,39533
nagaland,2020,3,173106,Xiaomi,54400
nagaland,2020,4,192188,Xiaomi,60222
nagaland,2021,1,207808,Xiaomi,65272
nagaland,2021,2,223337,Xiaomi,69897
nagaland,2021,3,241797,Xiaomi,75533
nagaland,2021,4,259990,Xiaomi,81701
nagaland,2022,1,276483,Xiaomi,86500
nagaland,2022,2,292104,Xiaomi,86500
nagaland,2022,3,307386,Xiaomi,86500
nagaland,2022,4,321205,Xiaomi,86500
odisha,2018,1,1594015,Xiaomi,432254
